"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
6563 1.9373383 46.627348 1303.4357 0.054123497 0.34051572 0.0168781672766124
6743 4.563585 64.240152 1454.6138 0.11192207 0.30699084 0.114628877810937
6744 4.2140844 74.594615 1430.3521 0.090738911 0.36004308 0.092885955090626
6745 3.4521694 66.649379 1377.6352 0.083573482 0.3476949 0.101743144492937
6746 3.2072438 65.419358 1493.9659 0.077012882 0.27272858 0.0935796741670509
6747 3.4627727 70.213558 1426.1195 0.076989831 0.29390139 0.139352577217304
6748 3.310843 77.19448 1451.1753 0.068245956 0.31641992 0.0980609469076607
6749 3.4286255 76.471402 1506.7505 0.068759468 0.32957384 0.109967525299709
6750 3.8437979 65.188299 1371.6641 0.073210914 0.32186257 0.0925494125021583
6751 3.6629223 67.631251 1450.0279 0.069774838 0.30651563 0.0687950774364962
6752 3.6602273 76.737052 1406.7906 0.053782146 0.28612544 0.0191451397293471
6753 3.2113188 46.247736 1523.4892 0.086918361 0.33356889 0.00284810005967149
6754 1.8407521 41.811784 1511.947 0.060606701 0.35839213 0.00254105616254784
6755 1.9618609 47.880043 1268.382 0.050627255 0.36316934 0.0299239290655339
6935 4.1730013 71.721796 1433.8636 0.09069444 0.34010089 0.147025040550647
6936 4.3699961 69.634282 1335.8293 0.10652783 0.31357512 0.0352291684945428
6937 3.5740844 63.540619 1379.0669 0.089459206 0.33303638 0.112483878682783
6938 3.3252728 72.503875 1423.143 0.072009268 0.32776521 0.114957217600065
6939 3.3284942 81.461329 1564.3162 0.063998831 0.3091809 0.146477080303876
6940 3.1383499 73.29353 1417.82 0.06973399 0.32527867 0.0830956925295397
6941 3.1307703 74.156094 1448.8596 0.06624057 0.33773708 0.108131701557203
6942 3.5911379 73.776523 1479.3133 0.062440966 0.32335757 0.0949305381119953
6943 3.4551822 58.692001 1246.8259 0.07447083 0.32140371 0.0750478673783107
6944 3.4867754 73.347831 1400.0553 0.055026982 0.32758203 0.0295572755254031
6945 2.8803087 47.393437 1196.7501 0.080276642 0.31604361 0.00490196052679242
